channel,u0,tE,rho,q,s,mag_ref,seed,event_delta_chi2,anomaly_delta_chi2,event_detected,anomaly_detected,recovered,failure_reason,n_points_in_anomaly_window,wall_time_s
ffp,0.3,0.02,0.005,0.0,1.0,19.0,0,54738.00920549228,0.8335264287720502,True,True,True,recovered,5,0.07158130034804344
ffp,0.3,0.02,0.005,0.0,1.0,19.0,1,54750.249436359736,2.4504282412008265,True,True,True,recovered,5,0.05443500028923154
ffp,0.3,0.02,0.005,0.0,1.0,19.0,2,54503.84506768851,1.3121556775876626,True,True,True,recovered,5,0.053344900254160166
ffp,0.3,0.02,0.005,0.0,1.0,19.0,3,54684.22054282172,0.7154419727624066,True,True,True,recovered,5,0.0456574996933341
ffp,0.3,0.02,0.005,0.0,1.0,19.0,4,54539.409708052604,2.127673142851984,True,True,True,recovered,5,0.07970390003174543
ffp,0.3,0.08,0.005,0.0,1.0,19.0,0,371316.6764384812,16.09759966216123,True,True,True,recovered,28,0.046604199800640345
ffp,0.3,0.08,0.005,0.0,1.0,19.0,1,368450.81593829865,22.635213815831655,True,True,True,recovered,27,0.04593120003119111
ffp,0.3,0.08,0.005,0.0,1.0,19.0,2,370216.5251193359,22.328405373936814,True,True,True,recovered,28,0.04485800024122
ffp,0.3,0.08,0.005,0.0,1.0,19.0,3,371114.94286686135,19.11769737696599,True,True,True,recovered,28,0.04810679983347654
ffp,0.3,0.08,0.005,0.0,1.0,19.0,4,371317.9263321271,17.01400059063954,True,True,True,recovered,28,0.04596860008314252
ffp,0.3,0.3,0.005,0.0,1.0,19.0,0,1779311.231090501,93.11211440214936,True,True,True,recovered,105,0.038573999889194965
ffp,0.3,0.3,0.005,0.0,1.0,19.0,1,1739017.9748132892,82.28618010392563,True,True,True,recovered,104,0.04795899987220764
ffp,0.3,0.3,0.005,0.0,1.0,19.0,2,1771699.837023372,87.59702421899124,True,True,True,recovered,106,0.04390290006995201
ffp,0.3,0.3,0.005,0.0,1.0,19.0,3,1784126.4112699935,103.49561250725917,True,True,True,recovered,105,0.037941699847579
ffp,0.3,0.3,0.005,0.0,1.0,19.0,4,1767365.3107624736,121.48922921530641,True,True,True,recovered,105,0.044546599965542555
ffp,0.3,1.0,0.005,0.0,1.0,19.0,0,6048611.597606962,332.1624970040839,True,True,True,recovered,354,0.04634439991787076
ffp,0.3,1.0,0.005,0.0,1.0,19.0,1,5994631.000587474,299.6933363288214,True,True,True,recovered,354,0.044142600148916245
ffp,0.3,1.0,0.005,0.0,1.0,19.0,2,6082471.933039434,386.3753730336481,True,True,True,recovered,357,0.037994999904185534
ffp,0.3,1.0,0.005,0.0,1.0,19.0,3,6090824.999477853,380.52055172360156,True,True,True,recovered,355,0.03881769999861717
ffp,0.3,1.0,0.005,0.0,1.0,19.0,4,6051887.384248619,374.03317620711437,True,True,True,recovered,355,0.03819250036031008
ffp,0.6,0.02,0.005,0.0,1.0,19.0,0,29231.407347181026,0.6903709193693796,True,True,True,recovered,5,0.0974489999935031
ffp,0.6,0.02,0.005,0.0,1.0,19.0,1,29239.328392031763,2.486833010833584,True,True,True,recovered,5,0.054408800322562456
ffp,0.6,0.02,0.005,0.0,1.0,19.0,2,29015.18951105517,1.1685809215502345,True,True,True,recovered,5,0.06706849997863173
ffp,0.6,0.02,0.005,0.0,1.0,19.0,3,29193.651406755816,0.880163025405208,True,True,True,recovered,5,0.05142859974876046
ffp,0.6,0.02,0.005,0.0,1.0,19.0,4,29057.24364714002,1.9190281136330813,True,True,True,recovered,5,0.09444240015000105
ffp,0.6,0.08,0.005,0.0,1.0,19.0,0,195868.94515367606,15.586647460826905,True,True,True,recovered,28,0.0548824998550117
ffp,0.6,0.08,0.005,0.0,1.0,19.0,1,193768.15054944274,22.66056624862473,True,True,True,recovered,27,0.045508299954235554
ffp,0.6,0.08,0.005,0.0,1.0,19.0,2,194858.81670276687,23.297005902813225,True,True,True,recovered,28,0.052106599789112806
ffp,0.6,0.08,0.005,0.0,1.0,19.0,3,195685.6819067311,18.8475949015748,True,True,True,recovered,28,0.05559660028666258
ffp,0.6,0.08,0.005,0.0,1.0,19.0,4,195799.80518102224,14.619332678998084,True,True,True,recovered,28,0.0635599996894598
ffp,0.6,0.3,0.005,0.0,1.0,19.0,0,901074.6355457824,93.32627344718874,True,True,True,recovered,105,0.038896100129932165
ffp,0.6,0.3,0.005,0.0,1.0,19.0,1,881899.366664189,82.7156937494688,True,True,True,recovered,104,0.04643680015578866
ffp,0.6,0.3,0.005,0.0,1.0,19.0,2,896296.4234625326,86.9582295472417,True,True,True,recovered,106,0.05431810021400452
ffp,0.6,0.3,0.005,0.0,1.0,19.0,3,904252.0190575817,103.68787050206532,True,True,True,recovered,105,0.036061800085008144
ffp,0.6,0.3,0.005,0.0,1.0,19.0,4,894809.5558648142,122.41691054886391,True,True,True,recovered,105,0.04769580019637942
ffp,0.6,1.0,0.005,0.0,1.0,19.0,0,3018023.803548012,331.36211050837073,True,True,True,recovered,354,0.04480929998680949
ffp,0.6,1.0,0.005,0.0,1.0,19.0,1,2993257.405826505,298.2997597373864,True,True,True,recovered,354,0.052565500140190125
ffp,0.6,1.0,0.005,0.0,1.0,19.0,2,3035179.000576634,385.7869921110404,True,True,True,recovered,357,0.046375200152397156
ffp,0.6,1.0,0.005,0.0,1.0,19.0,3,3038817.994841243,380.66577450906345,True,True,True,recovered,355,0.043837899807840586
ffp,0.6,1.0,0.005,0.0,1.0,19.0,4,3019644.689590098,374.14261439722196,True,True,True,recovered,355,0.038266600109636784
ffp,1.0,0.02,0.005,0.0,1.0,19.0,0,10565.999330849976,0.4288734172385024,True,True,True,recovered,5,0.39169539976865053
ffp,1.0,0.02,0.005,0.0,1.0,19.0,1,10578.937221331791,2.537260787690403,True,True,True,recovered,5,0.10195410018786788
ffp,1.0,0.02,0.005,0.0,1.0,19.0,2,10400.733542531409,0.8653170371148231,True,True,True,recovered,5,0.1897790003567934
ffp,1.0,0.02,0.005,0.0,1.0,19.0,3,10543.232231625341,1.1424921642124382,True,True,True,recovered,5,0.0861976002342999
ffp,1.0,0.02,0.005,0.0,1.0,19.0,4,10457.612914831072,2.1312336723276872,True,True,True,recovered,5,0.15263810008764267
ffp,1.0,0.08,0.005,0.0,1.0,19.0,0,69796.3110339444,17.198205089078602,True,True,True,recovered,28,0.07376950001344085
ffp,1.0,0.08,0.005,0.0,1.0,19.0,1,68675.16627967099,22.531368278522464,True,True,True,recovered,27,0.06505249999463558
ffp,1.0,0.08,0.005,0.0,1.0,19.0,2,69058.90483740593,24.895223463259605,True,True,True,recovered,28,0.08561949990689754
ffp,1.0,0.08,0.005,0.0,1.0,19.0,3,69660.54386306783,18.906932776734337,True,True,True,recovered,28,0.09140849998220801
ffp,1.0,0.08,0.005,0.0,1.0,19.0,4,69702.38123700485,17.67223405718861,True,True,True,recovered,28,0.10695199994370341
ffp,1.0,0.3,0.005,0.0,1.0,19.0,0,306737.3720547641,93.45795724316913,True,True,True,recovered,105,0.05188459996134043
ffp,1.0,0.3,0.005,0.0,1.0,19.0,1,300899.5054593482,82.68372609893122,True,True,True,recovered,104,0.05154250003397465
