mag_ref,u0,tE,n_trials,n_success,completeness,ci_low,ci_high
19.0,0.02,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,0.02,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,0.02,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,0.02,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,0.1,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,0.1,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,0.1,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,0.1,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,0.3,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,0.3,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,0.3,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,0.3,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,0.6,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,0.6,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,0.6,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,0.6,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,1.0,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,1.0,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,1.0,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,1.0,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,1.5,0.02,5,5,1.0,0.5655175352168251,1.0
19.0,1.5,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,1.5,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,1.5,1.0,5,5,1.0,0.5655175352168251,1.0
19.0,2.5,0.02,5,0,0.0,0.0,0.43448246478317476
19.0,2.5,0.08,5,5,1.0,0.5655175352168251,1.0
19.0,2.5,0.3,5,5,1.0,0.5655175352168251,1.0
19.0,2.5,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,0.02,0.02,5,5,1.0,0.5655175352168251,1.0
22.0,0.02,0.08,5,5,1.0,0.5655175352168251,1.0
22.0,0.02,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,0.02,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,0.1,0.02,5,5,1.0,0.5655175352168251,1.0
22.0,0.1,0.08,5,5,1.0,0.5655175352168251,1.0
22.0,0.1,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,0.1,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,0.3,0.02,5,5,1.0,0.5655175352168251,1.0
22.0,0.3,0.08,5,5,1.0,0.5655175352168251,1.0
22.0,0.3,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,0.3,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,0.6,0.02,5,5,1.0,0.5655175352168251,1.0
22.0,0.6,0.08,5,5,1.0,0.5655175352168251,1.0
22.0,0.6,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,0.6,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,1.0,0.02,5,0,0.0,0.0,0.43448246478317476
22.0,1.0,0.08,5,5,1.0,0.5655175352168251,1.0
22.0,1.0,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,1.0,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,1.5,0.02,5,0,0.0,0.0,0.43448246478317476
22.0,1.5,0.08,5,0,0.0,0.0,0.43448246478317476
22.0,1.5,0.3,5,5,1.0,0.5655175352168251,1.0
22.0,1.5,1.0,5,5,1.0,0.5655175352168251,1.0
22.0,2.5,0.02,5,0,0.0,0.0,0.43448246478317476
22.0,2.5,0.08,5,0,0.0,0.0,0.43448246478317476
22.0,2.5,0.3,5,0,0.0,0.0,0.43448246478317476
22.0,2.5,1.0,5,0,0.0,0.0,0.43448246478317476
24.0,0.02,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,0.02,0.08,5,5,1.0,0.5655175352168251,1.0
24.0,0.02,0.3,5,5,1.0,0.5655175352168251,1.0
24.0,0.02,1.0,5,5,1.0,0.5655175352168251,1.0
24.0,0.1,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,0.1,0.08,5,5,1.0,0.5655175352168251,1.0
24.0,0.1,0.3,5,5,1.0,0.5655175352168251,1.0
24.0,0.1,1.0,5,5,1.0,0.5655175352168251,1.0
24.0,0.3,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,0.3,0.08,5,5,1.0,0.5655175352168251,1.0
24.0,0.3,0.3,5,5,1.0,0.5655175352168251,1.0
24.0,0.3,1.0,5,5,1.0,0.5655175352168251,1.0
24.0,0.6,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,0.6,0.08,5,0,0.0,0.0,0.43448246478317476
24.0,0.6,0.3,5,5,1.0,0.5655175352168251,1.0
24.0,0.6,1.0,5,5,1.0,0.5655175352168251,1.0
24.0,1.0,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,1.0,0.08,5,0,0.0,0.0,0.43448246478317476
24.0,1.0,0.3,5,0,0.0,0.0,0.43448246478317476
24.0,1.0,1.0,5,5,1.0,0.5655175352168251,1.0
24.0,1.5,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,1.5,0.08,5,0,0.0,0.0,0.43448246478317476
24.0,1.5,0.3,5,0,0.0,0.0,0.43448246478317476
24.0,1.5,1.0,5,0,0.0,0.0,0.43448246478317476
24.0,2.5,0.02,5,0,0.0,0.0,0.43448246478317476
24.0,2.5,0.08,5,0,0.0,0.0,0.43448246478317476
24.0,2.5,0.3,5,0,0.0,0.0,0.43448246478317476
24.0,2.5,1.0,5,0,0.0,0.0,0.43448246478317476
25.5,0.02,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,0.02,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,0.02,0.3,5,5,1.0,0.5655175352168251,1.0
25.5,0.02,1.0,5,5,1.0,0.5655175352168251,1.0
25.5,0.1,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,0.1,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,0.1,0.3,5,5,1.0,0.5655175352168251,1.0
25.5,0.1,1.0,5,5,1.0,0.5655175352168251,1.0
25.5,0.3,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,0.3,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,0.3,0.3,5,0,0.0,0.0,0.43448246478317476
25.5,0.3,1.0,5,5,1.0,0.5655175352168251,1.0
25.5,0.6,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,0.6,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,0.6,0.3,5,0,0.0,0.0,0.43448246478317476
25.5,0.6,1.0,5,0,0.0,0.0,0.43448246478317476
25.5,1.0,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,1.0,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,1.0,0.3,5,0,0.0,0.0,0.43448246478317476
25.5,1.0,1.0,5,0,0.0,0.0,0.43448246478317476
25.5,1.5,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,1.5,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,1.5,0.3,5,0,0.0,0.0,0.43448246478317476
25.5,1.5,1.0,5,0,0.0,0.0,0.43448246478317476
25.5,2.5,0.02,5,0,0.0,0.0,0.43448246478317476
25.5,2.5,0.08,5,0,0.0,0.0,0.43448246478317476
25.5,2.5,0.3,5,0,0.0,0.0,0.43448246478317476
25.5,2.5,1.0,5,0,0.0,0.0,0.43448246478317476
